"voterbase_id","score"
"MO-000000001718",0.9993980967
"MO-000000002168",0.8906357
"MO-000000002595",0.9915963095
"MO-000000003320",0.955087855
"MO-000000004415",0.996573231
"MO-000000004695",0.9983131713
"MO-000000006070",0.9991368096
"MO-000000010126",0.031309
"MO-000000010332",0.08273125
"MO-000000011193",0.986941056
"MO-000000011685",0.973269721
"MO-000000011884",0.975937849
"MO-000000011950",0.73041227
"MO-000000012514",0.99955791663
"MO-000000012846",0.9953141185
"MO-000000013819",0.0717631
"MO-000000014098",0.78989239
"MO-000000015099",0.9978222256
"MO-000000015550",0.9989085027
"MO-000000015570",0.9987088843
"MO-000000015576",0.8136043
"MO-000000015650",0.9968246755
"MO-000000015682",0.83115211
"MO-000000015789",0.992017101
"MO-000000015928",0.980035871
"MO-000000015965",0.6956092
"MO-000000016155",0.55269724
"MO-000000016156",0.3335956
"MO-000000016266",0.991611324
"MO-000000016282",0.984604647
"MO-000000016428",0.9979571751
"MO-000000016435",0.96097244
"MO-000000016846",0.9942751736
"MO-000000017017",0.9966720254
"MO-000000017076",0.9939522916
"MO-000000017686",0.979571994
"MO-000000017825",0.89969471
"MO-000000017901",0.955414247
"MO-000000017912",0.991807085
"MO-000000018231",0.989759096
"MO-000000018333",0.993771377
"MO-000000018647",0.9992148329
"MO-000000018941",0.9981636051
"MO-000000019188",0.990711193
"MO-000000019545",0.9961842846
"MO-000000019577",0.989523664
"MO-000000019653",0.979991505
"MO-000000019674",0.88575496
"MO-000000020071",0.994563345
"MO-000000020536",0.1995316
"MO-000000021391",0.98880812
"MO-000000021449",0.95660622
"MO-000000021556",0.99960314247
"MO-000000021736",0.984291235
"MO-000000021746",0.997212902
"MO-000000021856",0.9992810746
"MO-000000021923",0.973248094
"MO-000000022247",0.9967975393
"MO-000000022414",0.9989618997
"MO-000000022421",0.9993589427
"MO-000000022462",0.9991826047
"MO-000000022535",0.997257066
"MO-000000022667",0.997982968
"MO-000000022879",0.52704102
"MO-000000022891",0.89884719
"MO-000000022921",0.992495377
"MO-000000023447",0.89210597
"MO-000000023625",0.9993494101
"MO-000000023746",0.9984918557
"MO-000000023823",0.9963880163
"MO-000000024616",0.992067689
"MO-000000025013",0.996124988
"MO-000000025320",0.996955529
"MO-000000025471",0.991957114
"MO-000000025746",0.9984551257
"MO-000000026006",0.966523994
"MO-000000026477",0.993098247
"MO-000000026960",0.9979130013
"MO-000000027099",0.992339209
"MO-000000027183",0.1941125
"MO-000000027317",0.999474737
"MO-000000027367",0.18993264
"MO-000000027860",0.9935267437
"MO-000000028237",0.9981567732
"MO-000000028427",0.962429482
"MO-000000028443",0.9988700352
"MO-000000028453",0.991340142
"MO-000000028455",0.97288399
"MO-000000028766",0.9992304302
"MO-000000028913",0.9987745433
"MO-000000028915",0.970042413
"MO-000000029134",0.99944523146
"MO-000000029251",0.998852983
"MO-000000030162",0.89566023
"MO-000000030449",0.9980713406
"MO-000000030944",0.996017206
"MO-000000031107",0.0633974
"MO-000000031133",0.67295647
"MO-000000031204",0.9982710303
"MO-000000031506",0.9989619456
"MO-000000031882",0.7536007
"MO-000000032548",0.976132011
"MO-000000032680",0.9953233968
"MO-000000032745",0.944037765
"MO-000000032853",0.953978755
"MO-000000033241",0.977584837
"MO-000000034369",0.9944486856
"MO-000000035063",0.985729137
"MO-000000035796",0.9993511737
"MO-000000035886",0.99022619
"MO-000000036015",0.9978112974
"MO-000000036220",0.9992832767
"MO-000000036436",0.974478519
"MO-000000036469",0.9988069632
"MO-000000036533",0.9960392592
"MO-000000037074",0.9956449987
"MO-000000037159",0.2099557
"MO-000000037904",0.997418244
"MO-000000037928",0.9983474471
"MO-000000038718",0.990771492
"MO-000000039020",0.9952438246
"MO-000000039285",0.990202663
"MO-000000039475",0.997061295
"MO-000000039867",0.991971241
"MO-000000039974",0.96767624
"MO-000000040153",0.9969359862
"MO-000000040337",0.998712567
"MO-000000040662",0.9984102263
"MO-000000040870",0.981187213
"MO-000000040921",0.986603123
"MO-000000040972",0.986178207
"MO-000000041214",0.15187985
"MO-000000041356",0.94248256
"MO-000000041758",0.84814061
"MO-000000042603",0.970425203
"MO-000000042874",0.973876255
"MO-000000043151",0.75875849
"MO-000000043603",0.9985861977
"MO-000000043604",0.997861683
"MO-000000043694",0.97030198
"MO-000000044113",0.9990551456
"MO-000000044627",0.95298653
"MO-000000045102",0.99912633555
"MO-000000046543",0.962843634
"MO-000000046590",0.9977080058
"MO-000000046634",0.995237881
"MO-000000047186",0.9978146658
"MO-000000047690",0.909040906
"MO-000000047754",0.9981011269
"MO-000000047870",0.9980898676
"MO-000000048774",0.995896251
"MO-000000048855",0.27404845
"MO-000000049478",0.981587235
"MO-000000049875",0.8301802
"MO-000000050185",0.98455204
"MO-000000050592",0.9922799184
"MO-000000050686",0.9986545561
"MO-000000050711",0.9988182348
"MO-000000050843",0.0547874
"MO-000000051296",0.9983175636
"MO-000000051323",0.216444
"MO-000000051353",0.990641674
"MO-000000052359",0.0266676
"MO-000000052594",0.972000955
"MO-000000052818",0.86472438
"MO-000000053024",0.979175461
"MO-000000053025",0.9976964488
"MO-000000053165",0.64550936
"MO-000000053166",0.27949727
"MO-000000053181",0.88410479
"MO-000000053365",0.2872794
"MO-000000053701",0.9993773904
"MO-000000054490",0.978617625
"MO-000000054784",0.981304592
"MO-000000055090",0.99915010825
"MO-000000055797",0.9953722637
"MO-000000056243",0.6876087
"MO-000000056313",0.99926628976
"MO-000000056595",0.99943138723
"MO-000000057197",0.72162828
"MO-000000057672",0.28564674
"MO-000000057788",0.9979357817
"MO-000000057968",0.2991173
"MO-000000058100",0.994421397
"MO-000000058656",0.9975289195
"MO-000000058809",0.990740249
"MO-000000059006",0.993732138
"MO-000000059064",0.1320965
"MO-000000059104",0.999631671
"MO-000000059255",0.971115068
"MO-000000059458",0.9993380922
"MO-000000059594",0.992512207
"MO-000000059652",0.9975778237
"MO-000000059764",0.9926217557
"MO-000000059865",0.1551744
"MO-000000059880",0.992859652
"MO-000000059926",0.988529121
"MO-000000060658",0.9978570996
"MO-000000060665",0.1743053
"MO-000000060956",0.9977065625
"MO-000000061060",0.9977873655
"MO-000000061287",0.973754006
"MO-000000061312",0.973619012
"MO-000000061522",0.994698009
"MO-000000061697",0.952520706
"MO-000000061753",0.946743384
"MO-000000063680",0.995048407
"MO-000000063952",0.963683944
"MO-000000064750",0.954242907
"MO-000000064779",0.995422984
"MO-000000064853",0.959672328
"MO-000000065298",0.985633182
"MO-000000065464",0.9977643038
"MO-000000065560",0.9935227344
"MO-000000065828",0.9924198645
"MO-000000065911",0.9942997596
"MO-000000066221",0.991883664
"MO-000000066223",0.9986289521
"MO-000000067267",0.977135506
"MO-000000067357",0.96648809
"MO-000000067728",0.9982840683
"MO-000000068170",0.9957043994
"MO-000000068218",0.48623216
"MO-000000068223",0.94455375
